Tiempo,Temp_Dist_81.4mm,Temp_Dist_123.1mm,Temp_Dist_164.0mm,Temp_Dist_211.9mm,Temp_Dist_249.6mm,Temp_Dist_410.5mm
0,57.121,57.678,57.97,58.328,58.536,58.709
5,57.078,57.616,57.915,58.282,58.505,58.64
10,57.021,57.578,57.852,58.212,58.444,58.591
15,57.243,57.524,57.817,58.175,58.398,58.549
20,58.135,57.613,57.766,58.118,58.339,58.484
25,59.521,57.926,57.787,58.076,58.285,58.449
30,61.182,58.498,57.884,58.057,58.234,58.394
35,62.902,59.223,58.106,58.042,58.186,58.34
40,64.646,60.084,58.413,58.086,58.163,58.285
45,66.371,61.012,58.791,58.187,58.152,58.226
50,68.08,62.01,59.256,58.315,58.154,58.201
55,69.722,63.029,59.76,58.489,58.215,58.138
60,71.338,64.062,60.34,58.712,58.27,58.086
65,72.878,65.101,60.919,58.951,58.381,58.023
70,74.377,66.161,61.563,59.249,58.49,57.987
75,75.8,67.194,62.201,59.558,58.622,57.943
80,77.213,68.237,62.869,59.904,58.782,57.905
85,78.557,69.233,63.53,60.265,58.986,57.853
90,79.903,70.242,64.227,60.643,59.191,57.825
95,81.168,71.21,64.911,61.042,59.424,57.767
100,82.423,72.222,65.593,61.442,59.642,57.748
105,83.638,73.158,66.294,61.862,59.917,57.72
110,84.812,74.107,66.984,62.3,60.186,57.695
115,85.958,75.035,67.673,62.727,60.48,57.678
120,87.103,75.968,68.357,63.177,60.763,57.67
125,88.2,76.874,69.054,63.638,61.078,57.674
130,89.284,77.754,69.74,64.102,61.389,57.683
135,90.308,78.625,70.418,64.556,61.701,57.67
140,91.349,79.497,71.096,65.027,62.046,57.674
145,92.355,80.36,71.771,65.487,62.379,57.674
150,93.349,81.207,72.456,65.958,62.718,57.699
155,94.296,82.001,73.105,66.418,63.048,57.735
160,95.24,82.835,73.743,66.893,63.404,57.75
165,96.165,83.618,74.376,67.363,63.756,57.794
170,97.071,84.422,75.029,67.839,64.097,57.83
175,97.966,85.186,75.688,68.31,64.463,57.876
180,98.864,85.962,76.299,68.765,64.812,57.911
185,99.727,86.701,76.929,69.232,65.187,57.97
190,100.571,87.476,77.552,69.71,65.547,58.039
195,101.396,88.17,78.166,70.165,65.897,58.119
200,102.218,88.905,78.768,70.624,66.263,58.184
205,103.046,89.649,79.384,71.097,66.633,58.233
210,103.816,90.35,79.981,71.562,66.997,58.331
215,104.638,91.046,80.566,72.01,67.367,58.386
220,105.368,91.735,81.161,72.482,67.734,58.472
225,106.116,92.401,81.732,72.917,68.117,58.577
