Tiempo,Temp_Dist_81.4mm,Temp_Dist_123.1mm,Temp_Dist_164.0mm,Temp_Dist_211.9mm,Temp_Dist_249.6mm,Temp_Dist_410.5mm
0,33.778,33.941,34.0,34.071,34.184,34.118
5,33.851,34.004,34.044,34.122,34.217,34.128
10,33.864,34.003,34.028,34.123,34.229,34.144
15,34.125,34.02,34.049,34.112,34.203,34.135
20,35.042,34.138,34.051,34.119,34.205,34.142
25,36.436,34.499,34.09,34.11,34.212,34.131
30,38.031,35.085,34.25,34.138,34.192,34.155
35,39.759,35.842,34.502,34.176,34.203,34.144
40,41.464,36.687,34.833,34.256,34.225,34.127
45,43.158,37.622,35.224,34.388,34.253,34.11
50,44.849,38.626,35.725,34.564,34.307,34.129
55,46.479,39.63,36.247,34.775,34.388,34.135
60,48.088,40.694,36.862,35.032,34.504,34.127
65,49.588,41.758,37.458,35.316,34.636,34.118
70,51.101,42.79,38.125,35.63,34.795,34.12
75,52.565,43.868,38.847,36.059,35.027,34.162
80,54.04,44.989,39.575,36.44,35.269,34.188
85,55.401,46.031,40.261,36.862,35.497,34.187
90,56.736,47.043,40.983,37.288,35.76,34.213
95,58.033,48.054,41.694,37.71,36.032,34.223
100,59.224,49.015,42.387,38.141,36.302,34.249
105,60.441,50.002,43.087,38.58,36.588,34.262
110,61.609,50.931,43.791,39.04,36.894,34.298
115,62.798,51.899,44.508,39.515,37.209,34.328
120,63.925,52.808,45.212,39.971,37.533,34.343
125,65.046,53.738,45.916,40.456,37.882,34.375
130,66.128,54.655,46.64,40.946,38.216,34.418
135,67.153,55.537,47.336,41.426,38.581,34.494
140,68.277,56.452,48.067,41.967,38.959,34.531
145,69.305,57.355,48.788,42.478,39.35,34.61
150,70.326,58.247,49.482,42.988,39.725,34.692
155,71.232,59.031,50.126,43.483,40.086,34.75
160,72.167,59.86,50.799,43.959,40.461,34.82
165,73.082,60.649,51.448,44.44,40.829,34.887
170,73.991,61.465,52.124,44.922,41.229,34.979
175,74.9,62.246,52.767,45.437,41.608,35.051
180,75.755,63.013,53.426,45.921,41.998,35.167
185,76.61,63.791,54.066,46.423,42.387,35.252
190,77.476,64.532,54.704,46.911,42.782,35.346
195,78.308,65.299,55.346,47.424,43.172,35.464
200,79.131,66.026,55.963,47.895,43.569,35.569
205,79.965,66.745,56.608,48.39,43.976,35.684
210,80.758,67.483,57.241,48.907,44.395,35.834
215,81.587,68.241,57.9,49.41,44.809,35.964
220,82.393,68.935,58.501,49.92,45.221,36.138
225,83.16,69.645,59.099,50.402,45.626,36.251
230,83.914,70.337,59.695,50.884,46.038,36.407
235,84.662,71.014,60.3,51.374,46.451,36.52
240,85.426,71.703,60.906,51.841,46.854,36.674
245,86.138,72.339,61.477,52.323,47.245,36.828
250,86.869,73.047,62.061,52.795,47.632,36.995
255,87.557,73.68,62.637,53.262,48.044,37.149
260,88.283,74.316,63.214,53.748,48.445,37.311
265,88.982,74.954,63.775,54.201,48.855,37.475
270,89.649,75.6,64.341,54.676,49.24,37.637
275,90.326,76.216,64.878,55.127,49.646,37.814
280,91.007,76.857,65.46,55.612,50.074,38.038
285,91.741,77.509,66.071,56.12,50.504,38.236
290,92.394,78.149,66.596,56.583,50.889,38.398
295,93.061,78.737,67.144,57.044,51.286,38.572
300,93.669,79.308,67.657,57.473,51.679,38.757
305,94.314,79.927,68.205,57.93,52.074,38.96
310,94.943,80.509,68.729,58.38,52.458,39.134
315,95.554,81.083,69.259,58.837,52.864,39.339
320,96.175,81.648,69.776,59.255,53.246,39.537
325,96.764,82.203,70.295,59.704,53.644,39.743
330,97.38,82.775,70.799,60.147,54.021,39.954
335,97.935,83.323,71.286,60.583,54.404,40.141
340,98.499,83.828,71.778,61.004,54.792,40.354
345,99.053,84.383,72.275,61.415,55.169,40.557
350,99.65,84.915,72.765,61.861,55.573,40.792
355,100.293,85.529,73.305,62.354,55.998,41.05
360,100.898,86.095,73.853,62.802,56.421,41.279
365,101.486,86.643,74.339,63.24,56.792,41.485
370,102.041,87.165,74.842,63.666,57.188,41.715
375,102.619,87.711,75.323,64.087,57.57,41.937
380,103.174,88.232,75.803,64.518,57.948,42.179
385,103.717,88.74,76.298,64.937,58.336,42.409
390,104.253,89.26,76.744,65.36,58.716,42.623
395,104.747,89.757,77.217,65.777,59.103,42.867
400,105.254,90.235,77.674,66.172,59.475,43.092
405,105.789,90.749,78.145,66.601,59.838,43.351
410,106.3,91.257,78.62,67.017,60.228,43.567
415,106.825,91.744,79.072,67.43,60.61,43.813
420,107.331,92.238,79.557,67.861,61.008,44.065
425,107.875,92.752,80.028,68.285,61.385,44.323
430,108.417,93.26,80.503,68.698,61.78,44.595
435,108.969,93.777,80.989,69.15,62.195,44.845
440,109.471,94.258,81.448,69.564,62.564,45.113
445,109.977,94.744,81.896,69.966,62.939,45.366
450,110.454,95.201,82.322,70.339,63.306,45.614
455,110.897,95.658,82.733,70.73,63.658,45.852
460,111.391,96.094,83.184,71.141,64.043,46.112
465,111.863,96.583,83.623,71.541,64.388,46.378
470,112.334,97.011,84.053,71.919,64.767,46.615
475,112.783,97.468,84.487,72.31,65.126,46.887
480,113.246,97.928,84.901,72.684,65.468,47.139
485,113.693,98.35,85.315,73.084,65.848,47.376
490,114.172,98.807,85.731,73.448,66.2,47.653
495,114.608,99.243,86.16,73.839,66.565,47.916
500,115.125,99.745,86.603,74.242,66.96,48.204
505,115.626,100.207,87.071,74.685,67.345,48.497
510,116.054,100.613,87.461,75.044,67.692,48.754
515,116.462,101.024,87.846,75.411,68.055,49.017
520,116.901,101.456,88.267,75.798,68.405,49.287
525,117.334,101.884,88.68,76.189,68.76,49.551
530,117.81,102.316,89.092,76.553,69.127,49.828
535,118.213,102.73,89.493,76.927,69.471,50.088
540,118.66,103.171,89.901,77.309,69.838,50.354
545,119.112,103.601,90.302,77.678,70.18,50.629
550,119.529,103.996,90.716,78.064,70.558,50.902
555,119.948,104.412,91.108,78.443,70.902,51.176
560,120.349,104.828,91.515,78.812,71.25,51.445
565,120.771,105.253,91.922,79.188,71.611,51.719
570,121.177,105.648,92.289,79.551,71.949,51.992
575,121.604,106.065,92.696,79.931,72.32,52.274
580,122.024,106.484,93.118,80.323,72.687,52.571
585,122.342,106.889,93.52,80.692,73.05,52.865
590,122.173,107.235,93.895,81.065,73.405,53.141
595,121.489,107.373,94.234,81.432,73.748,53.434
600,120.52,107.321,94.51,81.775,74.094,53.693
605,119.387,107.089,94.722,82.079,74.437,53.96
610,118.197,106.707,94.815,82.377,74.765,54.257
615,117.322,106.288,94.827,82.629,75.065,54.533
620,116.993,105.915,94.798,82.84,75.358,54.809
625,117.134,105.696,94.763,83.01,75.606,55.061
630,117.548,105.696,94.749,83.179,75.861,55.346
635,118.053,105.801,94.787,83.316,76.101,55.632
640,118.616,105.988,94.869,83.452,76.305,55.904
645,119.212,106.256,95.046,83.631,76.532,56.195
650,119.871,106.662,95.263,83.844,76.761,56.492
655,120.483,107.037,95.49,84.042,76.976,56.777
660,121.108,107.453,95.785,84.268,77.217,57.049
665,121.688,107.837,96.05,84.497,77.428,57.314
670,122.246,108.259,96.371,84.727,77.671,57.575
675,122.78,108.673,96.675,84.983,77.901,57.843
680,123.341,109.111,97.0,85.246,78.148,58.095
685,123.88,109.527,97.347,85.529,78.395,58.36
690,124.407,109.987,97.682,85.805,78.654,58.622
695,124.923,110.388,98.037,86.095,78.911,58.891
700,125.425,110.81,98.387,86.388,79.169,59.132
705,125.909,111.228,98.732,86.669,79.447,59.376
710,126.345,111.632,99.08,86.977,79.726,59.65
715,126.818,112.039,99.448,87.29,79.99,59.893
720,127.293,112.472,99.811,87.606,80.282,60.167
725,127.83,112.929,100.193,87.958,80.582,60.428
730,128.341,113.394,100.603,88.302,80.915,60.711
735,128.783,113.786,100.967,88.62,81.195,60.946
740,129.211,114.19,101.311,88.923,81.482,61.187
745,129.554,114.598,101.688,89.22,81.774,61.443
750,129.419,114.919,102.031,89.54,82.074,61.704
755,128.794,115.088,102.369,89.866,82.363,61.962
760,127.905,115.039,102.611,90.171,82.661,62.207
765,126.83,114.827,102.78,90.459,82.947,62.471
770,125.63,114.449,102.858,90.698,83.244,62.726
775,124.451,113.999,102.866,90.927,83.513,62.969
780,123.267,113.476,102.813,91.11,83.759,63.214
785,122.186,112.936,102.702,91.257,84.003,63.467
790,121.124,112.373,102.532,91.356,84.22,63.754
795,120.151,111.825,102.417,91.517,84.48,64.038
800,119.203,111.294,102.212,91.585,84.65,64.302
805,118.274,110.708,101.98,91.609,84.809,64.538
810,117.288,110.129,101.699,91.614,84.948,64.792
815,116.387,109.545,101.416,91.587,85.043,65.039
820,115.485,108.945,101.139,91.556,85.154,65.29
825,114.646,108.38,100.828,91.495,85.229,65.545
830,113.795,107.801,100.516,91.429,85.287,65.79
835,112.958,107.25,100.198,91.327,85.327,66.014
840,112.171,106.652,99.861,91.222,85.354,66.252
845,111.422,106.124,99.538,91.123,85.367,66.484
850,110.711,105.578,99.206,91.001,85.377,66.708
855,110.005,105.072,98.896,90.88,85.371,66.939
860,109.353,104.584,98.574,90.776,85.378,67.166
865,108.69,104.07,98.268,90.637,85.372,67.372
870,108.053,103.602,97.956,90.511,85.37,67.618
875,107.472,103.182,97.692,90.415,85.381,67.831
880,106.887,102.733,97.381,90.283,85.347,68.066
885,106.324,102.262,97.089,90.135,85.297,68.251
890,105.713,101.798,96.757,89.987,85.256,68.456
895,105.13,101.354,96.449,89.847,85.196,68.635
900,104.571,100.897,96.142,89.668,85.141,68.829
905,104.004,100.461,95.845,89.512,85.081,69.01
910,103.501,100.034,95.525,89.347,85.007,69.181
915,102.987,99.617,95.241,89.213,84.957,69.371
920,102.495,99.231,94.939,89.043,84.883,69.536
925,101.984,98.825,94.661,88.891,84.79,69.703
930,101.508,98.409,94.375,88.736,84.736,69.853
935,101.032,98.032,94.089,88.581,84.637,70.007
