Tiempo,Temp_Dist_81.4mm,Temp_Dist_123.1mm,Temp_Dist_164.0mm,Temp_Dist_211.9mm,Temp_Dist_249.6mm,Temp_Dist_410.5mm
0,193.976,178.818,165.845,151.97,143.337,118.9
30,194.107,178.986,166.0,152.154,143.497,119.09
60,195.067,179.951,167.014,153.181,144.561,120.142
90,196.107,180.987,168.082,154.257,145.639,121.183
120,197.106,181.992,169.121,155.321,146.676,122.219
150,198.033,182.983,170.122,156.324,147.71,123.246
180,198.967,183.923,171.123,157.341,148.705,124.27
210,199.913,184.861,172.085,158.32,149.677,125.239
240,200.834,185.777,173.035,159.288,150.659,126.233
270,201.754,186.698,173.988,160.236,151.617,127.165
300,202.629,187.602,174.895,161.145,152.538,128.112
330,203.526,188.527,175.826,162.082,153.455,129.034
360,204.408,189.417,176.758,163.014,154.376,129.962
390,205.254,190.27,177.628,163.89,155.282,130.857
