Tiempo,Temp_Dist_81.4mm,Temp_Dist_123.1mm,Temp_Dist_164.0mm,Temp_Dist_211.9mm,Temp_Dist_249.6mm,Temp_Dist_410.5mm
0,32.931,33.112,33.149,33.27,33.395,33.545
3,33.426,33.464,33.499,33.672,33.831,34.04
6,33.454,33.466,33.508,33.66,33.816,34.049
9,33.509,33.499,33.497,33.658,33.816,34.04
12,33.603,33.53,33.506,33.654,33.818,34.044
15,33.831,33.552,33.499,33.649,33.803,34.038
18,34.228,33.611,33.521,33.651,33.81,34.061
21,34.729,33.754,33.553,33.643,33.814,34.042
24,35.318,33.925,33.592,33.664,33.805,34.042
27,35.931,34.151,33.662,33.686,33.82,34.036
30,36.568,34.426,33.735,33.681,33.827,34.047
33,37.188,34.735,33.87,33.711,33.835,34.038
36,37.811,35.07,33.996,33.763,33.84,34.053
39,38.394,35.402,34.13,33.812,33.857,34.042
42,38.941,35.748,34.297,33.865,33.876,34.032
45,39.502,36.105,34.46,33.929,33.895,34.034
48,40.038,36.431,34.656,33.996,33.925,34.038
51,40.49,36.782,34.853,34.071,33.964,34.034
54,40.955,37.114,35.056,34.175,34.008,34.053
57,41.358,37.457,35.264,34.278,34.073,34.057
60,41.755,37.754,35.471,34.376,34.107,34.042
63,42.117,38.07,35.683,34.487,34.147,34.047
66,42.441,38.388,35.877,34.594,34.222,34.064
69,42.745,38.683,36.105,34.715,34.296,34.067
72,43.07,38.95,36.316,34.869,34.376,34.079
75,43.336,39.235,36.551,34.99,34.477,34.09
78,43.575,39.496,36.766,35.142,34.568,34.108
81,43.807,39.739,36.953,35.278,34.637,34.123
84,43.994,39.975,37.159,35.405,34.731,34.12
87,44.125,40.149,37.337,35.521,34.814,34.124
90,44.256,40.34,37.503,35.662,34.889,34.133
93,44.367,40.516,37.658,35.777,35.0,34.141
96,44.457,40.677,37.852,35.895,35.062,34.148
99,44.517,40.824,37.978,36.019,35.16,34.158
102,44.59,40.938,38.114,36.132,35.25,34.169
105,44.612,41.083,38.256,36.232,35.327,34.175
108,44.658,41.189,38.384,36.369,35.421,34.18
111,44.642,41.276,38.501,36.47,35.502,34.195
114,44.645,41.363,38.621,36.557,35.588,34.192
117,44.598,41.423,38.712,36.658,35.646,34.229
120,44.563,41.496,38.814,36.763,35.735,34.231
123,44.541,41.548,38.916,36.857,35.821,34.244
126,44.481,41.575,38.995,36.936,35.9,34.25
129,44.397,41.608,39.072,37.039,35.992,34.263
132,44.321,41.646,39.142,37.107,36.043,34.28
135,44.228,41.651,39.206,37.203,36.12,34.319
138,44.158,41.657,39.27,37.267,36.199,34.316
141,44.065,41.654,39.321,37.34,36.283,34.329
144,43.945,41.638,39.359,37.408,36.323,34.366
147,43.869,41.635,39.408,37.461,36.396,34.366
150,43.708,41.621,39.434,37.529,36.462,34.396
153,43.621,41.589,39.476,37.576,36.526,34.425
156,43.513,41.572,39.485,37.632,36.573,34.436
159,43.366,41.516,39.526,37.685,36.638,34.468
162,43.249,41.459,39.539,37.715,36.689,34.483
165,43.117,41.41,39.525,37.745,36.726,34.511
168,43.006,41.377,39.534,37.791,36.771,34.526
171,42.846,41.294,39.522,37.81,36.81,34.556
174,42.785,41.284,39.539,37.883,36.881,34.599
177,42.665,41.23,39.553,37.912,36.938,34.624
180,42.627,41.225,39.589,37.961,37.0,34.67
183,42.507,41.173,39.561,37.995,37.034,34.694
186,42.465,41.172,39.6,38.037,37.106,34.738
189,42.394,41.129,39.6,38.062,37.134,34.768
192,42.336,41.071,39.583,38.088,37.162,34.789
195,42.26,41.031,39.583,38.098,37.192,34.819
198,42.208,40.987,39.564,38.124,37.226,34.847
201,42.168,40.954,39.556,38.126,37.262,34.869
204,42.124,40.922,39.543,38.154,37.29,34.896
207,42.113,40.886,39.537,38.162,37.297,34.922
